project_number,employee_number,assignment_start,assignment_end
20146,10001,2023-10-24,2024-08-19
20010,10001,2024-09-09,2025-08-12
20098,10002,2017-05-16,2017-05-31
20179,10003,2018-10-22,2019-04-06
20045,10003,2019-05-08,2019-10-31
20142,10003,2019-11-22,2020-10-28
20114,10003,2020-12-05,2021-05-14
20164,10003,2021-06-05,2021-08-28
20130,10003,2021-10-01,2022-03-08
20130,10003,2022-03-16,2022-10-25
20170,10003,2022-11-21,2023-02-25
20130,10003,2023-03-20,2023-09-06
20018,10003,2023-09-21,2024-02-03
20100,10003,2024-02-12,2024-08-18
20161,10003,2024-08-30,2025-01-09
20100,10003,2025-02-01,2025-07-08
20081,10003,2025-08-12,2025-10-18
20097,10003,2025-11-25,2026-07-01
20012,10004,2021-09-11,2021-12-21
20020,10004,2022-01-25,2022-03-03
20094,10005,2021-12-13,2022-07-29
20051,10005,2022-08-20,2023-04-19
20018,10005,2023-04-25,2023-10-07
20006,10005,2023-11-06,2025-01-01
20100,10005,2025-01-10,2025-07-08
20101,10005,2025-08-19,2026-07-01
20012,10006,2021-02-05,2021-07-25
20049,10006,2021-08-17,2021-12-27
20126,10006,2022-02-07,2022-09-21
20069,10007,2015-04-06,2015-08-05
20106,10007,2015-09-15,2016-01-02
20121,10007,2016-02-09,2016-05-02
20100,10008,2024-06-23,2025-04-05
20006,10008,2025-05-12,2025-12-06
20177,10008,2025-12-30,2026-07-01
20160,10009,2021-07-13,2021-11-04
20027,10009,2021-11-27,2021-12-14
20138,10009,2021-12-20,2022-01-04
20051,10009,2022-02-10,2022-09-20
20124,10009,2022-10-27,2023-03-19
20132,10009,2023-04-20,2023-06-10
20103,10010,2024-08-19,2024-12-07
20146,10010,2024-12-15,2025-01-21
20161,10010,2025-02-06,2025-04-18
20033,10010,2025-06-01,2025-07-09
20165,10010,2025-08-01,2026-02-09
20127,10010,2026-02-23,2026-07-01
20146,10011,2023-04-06,2023-07-12
20014,10011,2023-07-31,2023-12-25
20014,10011,2024-01-10,2025-06-17
20070,10011,2025-07-25,2026-02-03
20103,10011,2026-02-20,2026-07-01
20091,10012,2024-01-19,2024-02-25
20100,10012,2024-03-16,2024-09-03
20165,10012,2024-09-13,2025-03-30
20033,10012,2025-05-02,2025-07-09
20006,10012,2025-07-19,2025-12-06
20095,10012,2025-12-20,2026-05-25
20048,10012,2026-06-21,2026-07-01
20092,10013,2015-09-08,2016-03-01
20143,10013,2016-04-14,2016-04-29
20160,10014,2020-04-06,2020-10-30
20105,10015,2023-11-21,2024-09-25
20100,10015,2024-10-10,2025-05-23
20036,10015,2025-06-08,2025-10-19
20127,10015,2025-10-30,2026-07-01
20082,10016,2016-11-30,2017-04-07
20004,10016,2017-05-17,2018-04-25
20008,10016,2018-05-09,2018-10-02
20122,10017,2021-05-20,2021-11-15
20102,10017,2021-12-11,2022-01-31
20132,10017,2022-03-15,2022-12-13
20115,10017,2023-01-16,2023-03-19
20162,10017,2023-05-02,2023-08-22
20123,10017,2023-09-06,2024-04-09
20146,10017,2024-05-22,2024-09-17
20029,10018,2016-07-30,2017-01-15
20043,10018,2017-02-11,2017-09-19
20172,10018,2017-10-14,2018-03-12
20072,10018,2018-04-15,2019-01-28
20160,10018,2019-02-02,2020-01-22
20013,10018,2020-02-19,2020-07-14
20061,10018,2020-08-19,2021-02-23
20138,10018,2021-03-09,2021-06-15
20005,10019,2020-04-30,2020-09-17
20134,10019,2020-09-29,2021-03-18
