project_number,project_start,project_end,location,priority_project,budget
20001,2015-07-20,2015-11-24,"St. Louis, MO",False,1600000.0
20002,2015-06-30,2015-12-27,"Dallas, TX",False,2800000.0
20003,2021-03-01,2022-02-14,"Chicago, IL",False,7500000.0
20004,2015-09-09,2018-04-25,"Dallas, TX",False,34100000.0
20005,2019-05-27,2020-09-17,"St. Louis, MO",False,12000000.0
20006,2023-04-24,2025-12-06,"Phoenix, AZ",False,33900000.0
20007,2016-03-29,2016-10-14,"Denver, CO",False,3200000.0
20008,2016-08-17,2018-10-02,"St. Louis, MO",False,24800000.0
20009,2025-08-04,2026-05-16,"Dallas, TX",False,5500000.0
20010,2022-04-30,2025-12-11,"Columbus, OH",True,179600000.0
20011,2019-02-23,2021-03-27,"St. Louis, MO",False,24200000.0
20012,2020-12-13,2021-12-21,"St. Louis, MO",False,8300000.0
20013,2018-11-28,2020-07-14,"St. Louis, MO",True,54200000.0
20014,2023-07-10,2025-08-06,"Chicago, IL",False,23900000.0
20015,2022-05-21,2023-01-03,"Chicago, IL",False,3900000.0
20016,2016-05-12,2016-10-09,"St. Louis, MO",True,6900000.0
20017,2015-09-15,2017-05-03,"Denver, CO",False,16700000.0
20018,2022-02-08,2025-10-20,"Dallas, TX",False,56900000.0
20019,2025-09-13,2026-03-08,"Denver, CO",True,8700000.0
20020,2021-04-30,2022-06-18,"Chicago, IL",False,9700000.0
20021,2018-01-13,2018-07-12,"Dallas, TX",False,2800000.0
20022,2015-12-12,2016-10-14,"Chicago, IL",False,6200000.0
20023,2020-07-15,2021-01-31,"St. Louis, MO",False,3300000.0
20024,2026-02-16,2027-10-26,"Denver, CO",False,17600000.0
20025,2019-02-07,2019-10-28,"Denver, CO",False,4900000.0
20026,2016-07-02,2017-05-23,"St. Louis, MO",False,6700000.0
20027,2021-06-06,2021-12-14,"Phoenix, AZ",False,3000000.0
20028,2026-02-21,2027-09-11,"Chicago, IL",False,15500000.0
20029,2016-07-16,2017-04-11,"St. Louis, MO",False,5100000.0
20030,2015-01-07,2015-10-25,"Denver, CO",False,5700000.0
20031,2023-01-29,2024-01-13,"St. Louis, MO",False,7500000.0
20032,2017-02-10,2017-07-13,"Chicago, IL",False,2200000.0
20033,2024-07-13,2025-07-09,"Denver, CO",False,7900000.0
20034,2021-10-25,2022-03-13,"Chicago, IL",False,1900000.0
20035,2018-06-13,2019-04-29,"Denver, CO",False,6600000.0
